instant,dteday,season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,cnt
22,01-01-2011,1,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,34
23,01-01-2011,1,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,28
24,01-01-2011,1,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,39
25,02-01-2011,1,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,17
26,02-01-2011,1,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,17
27,02-01-2011,1,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,9
28,02-01-2011,1,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,6
29,02-01-2011,1,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,3
30,02-01-2011,1,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2
31,02-01-2011,1,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1
32,02-01-2011,1,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8
33,02-01-2011,1,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,20
34,02-01-2011,1,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,53
35,02-01-2011,1,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,70
36,02-01-2011,1,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,93
37,02-01-2011,1,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,75
38,02-01-2011,1,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,59
39,02-01-2011,1,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,74
40,02-01-2011,1,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,76
41,02-01-2011,1,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,65
42,02-01-2011,1,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,53
43,02-01-2011,1,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,30
44,02-01-2011,1,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,22
45,02-01-2011,1,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,31
46,02-01-2011,1,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9
47,02-01-2011,1,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8
48,03-01-2011,1,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5
49,03-01-2011,1,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2
50,03-01-2011,1,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1
51,03-01-2011,1,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3
52,03-01-2011,1,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30
53,03-01-2011,1,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,64
54,03-01-2011,1,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,154
55,03-01-2011,1,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,88
56,03-01-2011,1,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,44
57,03-01-2011,1,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,51
58,03-01-2011,1,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,61
59,03-01-2011,1,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,61
60,03-01-2011,1,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,77
61,03-01-2011,1,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,72
62,03-01-2011,1,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,76
63,03-01-2011,1,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,157
64,03-01-2011,1,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,157
65,03-01-2011,1,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,110
66,03-01-2011,1,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,52
67,03-01-2011,1,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,52
68,03-01-2011,1,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20
69,03-01-2011,1,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,12
70,04-01-2011,1,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5
71,04-01-2011,1,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2
72,04-01-2011,1,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1
73,04-01-2011,1,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2
74,04-01-2011,1,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4
75,04-01-2011,1,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36
76,04-01-2011,1,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,94
77,04-01-2011,1,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,179
78,04-01-2011,1,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,100
79,04-01-2011,1,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,42
80,04-01-2011,1,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,57
81,04-01-2011,1,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,78
82,04-01-2011,1,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,97
83,04-01-2011,1,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,63
84,04-01-2011,1,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,65
85,04-01-2011,1,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,83
86,04-01-2011,1,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,212
87,04-01-2011,1,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,182
88,04-01-2011,1,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,112
89,04-01-2011,1,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,54
90,04-01-2011,1,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48
91,04-01-2011,1,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,35
92,04-01-2011,1,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,11
93,05-01-2011,1,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6
94,05-01-2011,1,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6
95,05-01-2011,1,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2
96,05-01-2011,1,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2
97,05-01-2011,1,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3
98,05-01-2011,1,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33
99,05-01-2011,1,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,88
100,05-01-2011,1,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,195
101,05-01-2011,1,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,115
102,05-01-2011,1,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,57
103,05-01-2011,1,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,46
104,05-01-2011,1,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,79
105,05-01-2011,1,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,71
106,05-01-2011,1,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,62
107,05-01-2011,1,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,62
108,05-01-2011,1,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,89
109,05-01-2011,1,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,190
110,05-01-2011,1,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,169
111,05-01-2011,1,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,132
112,05-01-2011,1,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,89
113,05-01-2011,1,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,43
114,05-01-2011,1,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,42
115,05-01-2011,1,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,19
116,06-01-2011,1,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11
117,06-01-2011,1,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4
118,06-01-2011,1,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2
119,06-01-2011,1,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1
120,06-01-2011,1,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4
121,06-01-2011,1,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36
122,06-01-2011,1,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95
123,06-01-2011,1,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,219
124,06-01-2011,1,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,122
125,06-01-2011,1,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,45
126,06-01-2011,1,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,59
127,06-01-2011,1,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,84
128,06-01-2011,1,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,67
129,06-01-2011,1,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,70
130,06-01-2011,1,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,62
131,06-01-2011,1,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,86
132,06-01-2011,1,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,172
133,06-01-2011,1,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,163
134,06-01-2011,1,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,112
135,06-01-2011,1,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,69
136,06-01-2011,1,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48
137,06-01-2011,1,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,52
138,06-01-2011,1,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,23
139,07-01-2011,1,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,17
140,07-01-2011,1,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,7
141,07-01-2011,1,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1
142,07-01-2011,1,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1
143,07-01-2011,1,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5
144,07-01-2011,1,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,34
145,07-01-2011,1,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,84
146,07-01-2011,1,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,210
147,07-01-2011,1,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,134
148,07-01-2011,1,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,63
149,07-01-2011,1,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,67
150,07-01-2011,1,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,59
151,07-01-2011,1,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,73
152,07-01-2011,1,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,50
153,07-01-2011,1,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,72
154,07-01-2011,1,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,87
155,07-01-2011,1,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,187
156,07-01-2011,1,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,123
157,07-01-2011,1,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,95
158,07-01-2011,1,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,51
159,07-01-2011,1,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39
160,07-01-2011,1,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,36
161,07-01-2011,1,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,15
162,08-01-2011,1,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,25
163,08-01-2011,1,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,16
164,08-01-2011,1,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,16
165,08-01-2011,1,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7
166,08-01-2011,1,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1
167,08-01-2011,1,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5
168,08-01-2011,1,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2
169,08-01-2011,1,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,9
170,08-01-2011,1,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15
171,08-01-2011,1,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20
172,08-01-2011,1,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,61
173,08-01-2011,1,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,62
174,08-01-2011,1,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,98
175,08-01-2011,1,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,102
176,08-01-2011,1,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,95
177,08-01-2011,1,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,74
178,08-01-2011,1,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,76
179,08-01-2011,1,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,69
180,08-01-2011,1,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,55
181,08-01-2011,1,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,30
182,08-01-2011,1,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28
183,08-01-2011,1,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,37
184,08-01-2011,1,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,34
185,08-01-2011,1,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22
186,09-01-2011,1,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,25
187,09-01-2011,1,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12
188,09-01-2011,1,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11
189,09-01-2011,1,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4
190,09-01-2011,1,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
191,09-01-2011,1,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
192,09-01-2011,1,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1
193,09-01-2011,1,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,6
194,09-01-2011,1,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10
195,09-01-2011,1,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19
196,09-01-2011,1,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49
197,09-01-2011,1,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,49
198,09-01-2011,1,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,83
199,09-01-2011,1,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,75
200,09-01-2011,1,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,72
201,09-01-2011,1,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,82
202,09-01-2011,1,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,92
203,09-01-2011,1,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,62
204,09-01-2011,1,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,48
205,09-01-2011,1,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,41
206,09-01-2011,1,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38
207,09-01-2011,1,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,20
208,09-01-2011,1,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,15
209,09-01-2011,1,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6
210,10-01-2011,1,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,5
211,10-01-2011,1,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,1
212,10-01-2011,1,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3
213,10-01-2011,1,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1
214,10-01-2011,1,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,3
215,10-01-2011,1,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3
216,10-01-2011,1,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31
217,10-01-2011,1,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,77
218,10-01-2011,1,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,188
219,10-01-2011,1,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,94
220,10-01-2011,1,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31
221,10-01-2011,1,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,30
222,10-01-2011,1,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,52
223,10-01-2011,1,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,54
224,10-01-2011,1,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47
225,10-01-2011,1,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,45
226,10-01-2011,1,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,74
227,10-01-2011,1,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,178
228,10-01-2011,1,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,155
229,10-01-2011,1,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,95
230,10-01-2011,1,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,74
231,10-01-2011,1,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,38
232,10-01-2011,1,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,24
233,10-01-2011,1,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18
234,11-01-2011,1,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,12
235,11-01-2011,1,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3
236,11-01-2011,1,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3
237,11-01-2011,1,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6
238,11-01-2011,1,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27
239,11-01-2011,1,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,99
240,11-01-2011,1,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,217
241,11-01-2011,1,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,130
242,11-01-2011,1,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,54
243,11-01-2011,1,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,35
244,11-01-2011,1,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,57
245,11-01-2011,1,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,52
246,11-01-2011,1,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,63
247,11-01-2011,1,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,47
248,11-01-2011,1,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,76
249,11-01-2011,1,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,136
250,11-01-2011,1,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,95
251,11-01-2011,1,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51
252,11-01-2011,1,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32
253,11-01-2011,1,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20
254,11-01-2011,1,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,29
255,11-01-2011,1,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,19
256,12-01-2011,1,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7
257,12-01-2011,1,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6
258,12-01-2011,1,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1
259,12-01-2011,1,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5
260,12-01-2011,1,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16
261,12-01-2011,1,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54
262,12-01-2011,1,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,128
263,12-01-2011,1,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,81
264,12-01-2011,1,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39
265,12-01-2011,1,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,35
266,12-01-2011,1,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,55
267,12-01-2011,1,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49
268,12-01-2011,1,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44
269,12-01-2011,1,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,49
270,12-01-2011,1,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,68
271,12-01-2011,1,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139
272,12-01-2011,1,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,137
273,12-01-2011,1,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,83
274,12-01-2011,1,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,56
275,12-01-2011,1,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57
276,12-01-2011,1,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,33
277,12-01-2011,1,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,20
278,13-01-2011,1,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,7
279,13-01-2011,1,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2
280,13-01-2011,1,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2
281,13-01-2011,1,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3
282,13-01-2011,1,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4
283,13-01-2011,1,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3
284,13-01-2011,1,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28
285,13-01-2011,1,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72
286,13-01-2011,1,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,202
287,13-01-2011,1,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,139
288,13-01-2011,1,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,38
289,13-01-2011,1,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,37
290,13-01-2011,1,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,52
291,13-01-2011,1,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,83
292,13-01-2011,1,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,42
293,13-01-2011,1,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,60
294,13-01-2011,1,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,78
295,13-01-2011,1,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,162
296,13-01-2011,1,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,144
297,13-01-2011,1,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,99
298,13-01-2011,1,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64
299,13-01-2011,1,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40
300,13-01-2011,1,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30
301,13-01-2011,1,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,15
302,14-01-2011,1,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14
303,14-01-2011,1,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5
304,14-01-2011,1,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1
305,14-01-2011,1,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1
306,14-01-2011,1,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8
307,14-01-2011,1,1,6,0,5,1,1,0.1,0.1818,0.54,0,0,17
308,14-01-2011,1,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70
309,14-01-2011,1,1,8,0,5,1,1,0.12,0.1667,0.68,0,2,158
310,14-01-2011,1,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117
311,14-01-2011,1,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,44
312,14-01-2011,1,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,53
